correlation,feature_1,feature_2,strength
0.355,energy,instrumentalness,Weak
0.296,valence,energy,Weak
0.214,danceability,instrumentalness,Weak
0.187,valence,instrumentalness,Weak
0.161,energy,acousticness,Weak
0.137,valence,danceability,Weak
0.133,acousticness,tempo,Weak
0.115,energy,danceability,Weak
0.089,valence,acousticness,Weak
0.077,tempo,loudness,Weak
0.053,danceability,acousticness,Weak
0.042,valence,loudness,Weak
0.029,energy,tempo,Weak
0.003,danceability,tempo,Weak
0.0,valence,tempo,Weak
-0.03,acousticness,instrumentalness,Weak
-0.04,acousticness,loudness,Weak
-0.075,instrumentalness,loudness,Weak
-0.107,instrumentalness,tempo,Weak
-0.183,energy,loudness,Weak
-0.242,danceability,loudness,Weak
