hour_of_day,day_of_week,day_name,part_of_day,is_weekend,play_count,avg_valence,avg_energy,avg_danceability,avg_acousticness,avg_tempo
12,5,Thursday,afternoon,false,297,0.446,0.553,0.562,0.5,107.7
13,5,Thursday,afternoon,false,54,0.611,0.637,0.514,0.3,104.7
14,5,Thursday,afternoon,false,28,0.703,0.747,0.48,0.818,70.4
14,7,Saturday,afternoon,true,36,0.427,0.561,0.577,0.633,129.7
15,7,Saturday,afternoon,true,100,0.587,0.492,0.429,0.569,99.2
17,7,Saturday,afternoon,true,136,0.573,0.563,0.589,0.475,120.8
18,7,Saturday,evening,true,365,0.48,0.429,0.496,0.518,117.3
20,2,Monday,evening,false,189,0.382,0.481,0.538,0.502,118.3
21,1,Sunday,evening,true,162,0.411,0.549,0.406,0.717,111.9
21,2,Monday,evening,false,54,0.429,0.488,0.428,0.717,158.2
22,1,Sunday,evening,true,27,0.392,0.637,0.19,0.192,130.0
22,2,Monday,evening,false,56,0.275,0.776,0.434,0.126,77.2
